estado;codigo;numero;municipio;populacao
SP;35;45308;Salto de Pirapora;46.285
SP;35;45407;Salto Grande;9.396
SP;35;45506;Sandovalina;4.405
SP;35;45605;Santa Adélia;15.639
SP;35;45704;Santa Albertina;6.036
SP;35;45803;Santa Bárbara d'Oeste;195.278
SP;35;46009;Santa Branca;14.925
SP;35;46108;Santa Clara d'Oeste;2.111
SP;35;46207;Santa Cruz da Conceição;4.584
SP;35;46256;Santa Cruz da Esperança;2.166
SP;35;46306;Santa Cruz das Palmeiras;35.102
SP;35;46405;Santa Cruz do Rio Pardo;48.207
SP;35;46504;Santa Ernestina;5.577
SP;35;46603;Santa Fé do Sul;32.796
SP;35;46702;Santa Gertrudes;27.850
SP;35;46801;Santa Isabel;58.529
SP;35;46900;Santa Lúcia;8.889
SP;35;47007;Santa Maria da Serra;6.298
SP;35;47106;Santa Mercedes;2.947
SP;35;47205;Santana da Ponte Pensa;1.448
SP;35;47304;Santana de Parnaíba;145.073
SP;35;47403;Santa Rita d'Oeste;2.476
SP;35;47502;Santa Rita do Passa Quatro;27.641
SP;35;47601;Santa Rosa de Viterbo;26.960
SP;35;47650;Santa Salete;1.558
SP;35;47700;Santo Anastácio;20.855
SP;35;47809;Santo André;723.889
SP;35;47908;Santo Antônio da Alegria;7.024
SP;35;48005;Santo Antônio de Posse;23.742
SP;35;48054;Santo Antônio do Aracanguá;8.541
SP;35;48104;Santo Antônio do Jardim;5.926
SP;35;48203;Santo Antônio do Pinhal;6.843
SP;35;48302;Santo Expedito;3.159
SP;35;48401;Santópolis do Aguapeí;4.856
SP;35;48500;Santos;433.991
SP;35;48609;São Bento do Sapucaí;10.907
SP;35;48708;São Bernardo do Campo;849.874
SP;35;48807;São Caetano do Sul;162.763
SP;35;48906;São Carlos;256.915
SP;35;49003;São Francisco;2.813
SP;35;49102;São João da Boa Vista;92.315
SP;35;49201;São João das Duas Pontes;2.555
SP;35;49250;São João de Iracema;1.942
SP;35;49300;São João do Pau d'Alho;2.095
SP;35;49409;São Joaquim da Barra;52.737
SP;35;49508;São José da Bela Vista;8.991
SP;35;49607;São José do Barreiro;4.141
SP;35;49706;São José do Rio Pardo;55.298
SP;35;49805;São José do Rio Preto;469.173
SP;35;49904;São José dos Campos;737.310
SP;35;49953;São Lourenço da Serra;16.127
SP;35;50001;São Luiz do Paraitinga;10.693
SP;35;50100;São Manuel;41.287
SP;35;50209;São Miguel Arcanjo;33.071
SP;35;50308;São Paulo;12.396.372
SP;35;50407;São Pedro;36.298
SP;35;50506;São Pedro do Turvo;7.724
SP;35;50605;São Roque;93.076
SP;35;50704;São Sebastião;91.637
SP;35;50803;São Sebastião da Grama;12.137
SP;35;50902;São Simão;15.446
SP;35;51009;São Vicente;370.839
SP;35;51108;Sarapuí;10.493
SP;35;51207;Sarutaiá;3.623
SP;35;51306;Sebastianópolis do Sul;3.595
SP;35;51405;Serra Azul;15.292
SP;35;51504;Serrana;46.166
SP;35;51603;Serra Negra;29.669
SP;35;51702;Sertãozinho;128.432
SP;35;51801;Sete Barras;12.731
SP;35;51900;Severínia;17.820
SP;35;52007;Silveiras;6.375
SP;35;52106;Socorro;41.690
SP;35;52205;Sorocaba;695.328
SP;35;52304;Sud Mennucci;7.738
SP;35;52403;Sumaré;289.875
SP;35;52502;Suzano;303.397
SP;35;52551;Suzanápolis;4.063
SP;35;52601;Tabapuã;12.561
SP;35;52700;Tabatinga;16.787
SP;35;52809;Taboão da Serra;297.528
SP;35;52908;Taciba;6.371
SP;35;53005;Taguaí;14.415
SP;35;53104;Taiaçu;6.346
SP;35;53203;Taiúva;5.562
SP;35;53302;Tambaú;23.255
SP;35;53401;Tanabi;26.231
SP;35;53500;Tapiraí;7.725
SP;35;53609;Tapiratiba;12.940
SP;35;53658;Taquaral;2.815
SP;35;53708;Taquaritinga;57.547
SP;35;53807;Taquarituba;23.292
SP;35;53856;Taquarivaí;5.968
SP;35;53906;Tarabai;7.609
SP;35;53955;Tarumã;15.361
SP;35;54003;Tatuí;124.134
SP;35;54102;Taubaté;320.820
SP;35;54201;Tejupá;4.452
SP;35;54300;Teodoro Sampaio;23.395
SP;35;54409;Terra Roxa;9.502
SP;35;54508;Tietê;42.946
SP;35;54607;Timburi;2.647
SP;35;54656;Torre de Pedra;2.432
SP;35;54706;Torrinha;10.100
SP;35;54755;Trabiju;1.752
SP;35;54805;Tremembé;48.228
SP;35;54904;Três Fronteiras;5.856
SP;35;54953;Tuiuti;7.058
SP;35;55000;Tupã;65.615
SP;35;55109;Tupi Paulista;15.670
SP;35;55208;Turiúba;2.024
SP;35;55307;Turmalina;1.667
SP;35;55356;Ubarana;6.488
SP;35;55406;Ubatuba;92.819
SP;35;55505;Ubirajara;4.828
SP;35;55604;Uchoa;10.191
SP;35;55703;União Paulista;1.886
SP;35;55802;Urânia;9.125
SP;35;55901;Uru;1.142
SP;35;56008;Urupês;13.965
SP;35;56107;Valentim Gentil;13.732
SP;35;56206;Valinhos;133.169
SP;35;56305;Valparaíso;27.154
SP;35;56354;Vargem;10.842
SP;35;56404;Vargem Grande do Sul;43.368
SP;35;56453;Vargem Grande Paulista;54.315
SP;35;56503;Várzea Paulista;124.269
SP;35;56602;Vera Cruz;10.804
SP;35;56701;Vinhedo;81.516
SP;35;56800;Viradouro;19.133
SP;35;56909;Vista Alegre do Alto;9.163
SP;35;56958;Vitória Brasil;1.852
SP;35;57006;Votorantim;124.468
SP;35;57105;Votuporanga;96.106
SP;35;57154;Zacarias;2.784
SP;35;57204;Chavantes;12.418
SP;35;57303;Estiva Gerbi;11.507
